raw latency,RSSI,filtered latency,TIMESTAMP,Drop?
2166,-94,2014,248.05492899999808,0
2096,-91,1987,248.4811069999996,0
2272,-104,2000,248.92077599999902,0
1800,-104,1966,249.38484099999914,0
1602,-99,1939,249.85016199999518,0
1352,-94,1911,250.15911799999594,0
1460,-103,1860,250.50259599999845,0
1502,-95,1837,250.8657849999945,0
1726,-97,1814,251.22169600000052,0
2247,-102,1827,251.60735600000044,0
2387,-95,1884,251.98133499999676,0
2266,-99,1920,252.31065799999487,0
2272,-103,1959,252.77521599999454,0
2220,-101,1943,253.25836899999558,0
1660,-98,1982,253.68321999999898,0
1622,-96,1953,253.98859000000084,0
1326,-100,1912,254.36371299999882,0
1862,-97,1916,254.85581499999535,0
1802,-92,1875,255.27032199999667,0
